"","X.3","X.2","X.1","X","org","start","movein","address","status","area","type","residences","women","men","ownership","members","residents","visitprocess","newMember","decisions","leader","leadergroup","fees","income_sharing","labor_req","member_debt","food_current","food_planned","food_local","meals_shared","meals_restrictions","meals_practices","alcohol","tobacco","religion","education","healthcare","source","lon","lat","geoAddress","no_meal_restrictions","vegan","vegetarian","organic","omnivorous","no_gmo","no_restrictions","raw","paleo","opportunivore","kosher"
"536",536,536,536,536,"Moonshadow",1971,"1971","1233 cartwright loop Whitwell, Tennessee, 37397-9609 United States ","Disbanded","340 acres","Ecovillage ",51,"51-60%","41-49%","Individual community member(s)",5,"No Info","Visitor Process: Visitors or potential interns should contact us through our website, please.
","No","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","Up to 25%","Between 26-49%","Between 26-49%","About once a week","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Local, GMO Free, Opportunivore ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Not a particularly spiritual or religious community, Native American, Humanist, Paganism/Earth Religions","Education Style(s): Home Schooling","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/moonshadow/",-85.4655052,35.2855814,NA,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"537",537,537,537,537,"Moonshine Tribe",2012,"2012","Mattina Caggiano, Potenza,  Italy ","Forming","No Info","Commune, Ecovillage, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community",51,"50%","No Info","The entire community membership",3,"No Info","No Info","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","No Info","No Info","Up to 25%","100%","Almost All, around 90%","2-5 times per week","No – people may eat however they wish.","Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Not a particularly spiritual or religious community, Christian, Buddhist, Hindu, Wiccan, Sufi, Native American, Paganism or Earth Religions, Mixed Eastern Philosophy or Practice, Hare Krishna, Rainbow Family, Humanist","Education Style(s): Home Schooling, Private Schooling at the Community","No Info","https://www.ic.org/directory/moonshine-tribe/",15.4962861,40.5654674,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"538",538,538,538,538,"Moora Moora Co-operative Community",1973,"1975"," PO Box 214 Healesville, Victoria, 3777 Australia ","Established","245 hectares","Ecovillage, Cohousing ",33,"No Info","No Info","The entire community membership",50,"Non-member Residents: 6","Visitor Process: Open days are held on the first Sunday of every month at 1.30pm, except on days of Total Fire Ban.
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 4","Open to members with existing debt: Yes (some debt)","No Info","No Info","No Info","1-3 times per month","No – people may eat however they wish.","No Info","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","No Info","No Info","https://www.ic.org/directory/moora-moora-co-operative-community/",145.5150483,-37.6541404,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"539",539,539,539,539,"Morganton Fellowship",2006,"2006","4847 Ponderosa Rd. Morganton, North Carolina, 28655 United States ","Forming","0.5 acres","Commune, Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community",2,"No Info","No Info","No Info",2,"No Info","Visitor Process: Please call for quickest response, otherwise you may email, but I do not check email every day.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","Up to 25%","Almost All, around 90%","From 50-75%","Approximately all meals","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Local, Organic, GMO Free ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Christian, Protestant, Quaker, Hutterian Brethren","Education Style(s): Home Schooling","Healthcare Options: Community Plan","https://www.ic.org/directory/morganton-fellowship/",-81.647238,35.676401,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"540",540,540,540,540,"Morningland Monastery",1973,"1973","2600 E. 7th Street Long Beach, California, 90804 United States ","Established","No Info","Spiritual or Religious Community",0,"No Info","No Info","No Info",NA,"No Info","Visitor Process: Please contact our Guest Coordinator at (562) 433-9906.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes, multiple identified leaders","No Info","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","No Info","No Info","No Info","No Info","About once a week","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian, Opportunivore, Dairy-Free, Gluten-Free","No Info","No Info","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Mixed Eastern Philosophy or Practice, MahaAnuAti Yoga","No Info","No Info","https://www.ic.org/directory/morningland-monastery/",-118.1609279,33.7750642,NA,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"541",541,541,541,541,"Morninglory",1969,"1969","RR4 3416 Mountain View Rd Killaloe, Ontario, K0J 2A0 Canada ","Established","100 acres","Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving ",4,"51-60%","41-49%","Community controlled land trust",18,"Non-member Residents: 21","Visitor Process: Please write us describing who you are and why and when you would like to visit us. Also please let us know what skills and experience you would like to contribute to the community, and what you would like to learn here.
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: Yes","Between 26-49%","From 50-75%","From 50-75%","2-5 times per week","No – people may eat however they wish.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian, Mostly Vegan, Opportunivore, Gluten-Free, No restrictions, all “allowed”","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Each individual looks within","Education Style(s): Home Schooling, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/morninglory/",-77.505663,45.512489,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
"542",542,542,542,542,"MorningSun",2004,"2009","655 Gilsum Mine Rd East Alstead, New Hampshire, 03602 United States ","Established","240 acres","Spiritual or Religious Community or Organization",32,"50%","50%","Other",7,"No Info","Visitor Process: Please email us to make visiting arrangements.
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","No Info","Shared Income: Members have completely independent finances","Required Labor Contribution per Week: 0","No Info","Up to 25%","No Info","Determined by Individuals or Households.","2-5 times per week","Very important – we all share a common diet.","Vegetarian ","Alcohol Use: No~ this community does not permit alcohol use.","Tobacco Use: No~ this community does not permit tobacco use.","Common Spiritual Practice(s): Christian, Buddhist, Jewish, Native American, Other","Education Style(s): Up to each individual","Healthcare Options: Up to each individual","https://www.ic.org/directory/morningsun/",-72.2722981,43.0841374,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"543",543,543,543,543,"MOSAIC Co-op",1998,"1998","2000 Sherman Ave. Evanston, Illinois, 60201 United States ","Established","No Info","Shared Housing, Cohouseholding, or Coliving, Student Housing or Student Co-Op",18,"No Info","No Info","The landlords from whom we rent the buildings",23,"No Info","Visitor Process: Email [email protected] to discuss possible dates for a visit.
(Alternately, both of our houses have shared communal meals several times a week, typically Sunday-Thursday at 7 PM, so if you just show up around that time, odds are you’ll be able to join us for dinner.)
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 5","No Info","0%, or close to 0%","No Info","No Info","2-5 times per week","No – people may eat however they wish.","Mostly Vegetarian","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","No Info","No Info","No Info","https://www.ic.org/directory/mosaic-communities/",-87.6820216,42.0540546,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"544",544,544,544,544,"Mosaic Commons",2000,"2009","22 Village Ln Berlin, Massachusetts, 01503 United States ","Established","65 acres","Cohousing ",37,"No Info","No Info","The entire community membership",62,"No Info","Visitor Process: Contact via email or phone.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","No Info","No Info","No Info","2-5 times per week","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Home Schooling, Private School off the property, Public Schooling","No Info","https://www.ic.org/directory/mosaic-commons/",-71.6263122,42.371847,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"545",545,545,545,545,"Mother Tree Vegan Eco-Village & Retreat",2017,"2018","134-135 moo 3 Phu Ruea, Loei, 42160 Thailand ","Forming","32 acres","Ecovillage, Cohousing, Shared Housing, Cohouseholding, or Coliving, Spiritual or Religious Community",32,"No Info","No Info","The land has not yet been purchased so the structure is open for discussion",2,"No Info","Visitor Process: To visit, get in touch with us and we’ll coordinate.
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Almost All, around 90%","Almost All, around 90%","Up to 25%","No Info","Yes – we all share a common diet.","Local, Organic, GMO Free, Vegan Only, Raw or Mostly Raw, Gluten-Free","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/mother-tree-vegan-eco-village-retreat/",101.3249781,17.3924468,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
"546",546,546,546,546,"Mother tribe in NYC",2015,"2016","New York City New York City, New York,  United States ","Forming","No Info","Commune, Shared Housing or Co-Living (multiple individuals sharing a dwelling.), Spiritual or Religious Community or Organization",0,"No Info","No Info","Other",1,"No Info","No Info","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: No","Shared Income: Members have completely independent finances","Required Labor Contribution per Week: 2","Open to members with existing debt: Yes (some debts)","Up to 25%","Between 25-50%","From 50-75%","1-3 times per month","Somewhat important – there are some dietary restrictions or customs.","Mostly Vegetarian, Vegan Only ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No~ this community does not permit tobacco use.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Up to each individual","No Info","https://www.ic.org/directory/mother-tribe-in-nyc/",-74.0059728,40.7127753,NA,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"547",547,547,547,547,"Motheroak permaculture coop",2009,"2010","1219 Belmont Rd. RR2 Newport, Nova Scotia, B0N2A0 Canada ","Forming","25 acres","Ecovillage ",18,"No Info","No Info","Individual community member(s)",1,"Non-member Residents: 2","Visitor Process: Call or email first
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","From 50-75%","No Info","From 50-75%","Approximately all dinners","No Info","Omnivorous ","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Buddhist","Education Style(s): Home Schooling, Public Schooling, Up to each family or individual","No Info","https://www.ic.org/directory/motheroak-permaculture-coop/",-64.0733949,45.045158,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"548",548,548,548,548,"mothership sanctuary",2005,"2005","31190 Foxridge Lane Eugene, Oregon, 97405 United States ","Established","5 acres","Shared Housing, Cohouseholding, or Coliving ",58,"61-70%","31-40%","A subgroup of community members",6,"No Info","Visitor Process: Email us.
","Waiting List","Decision Making: gov’m’nt by fridge note","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes","Up to 25%","Up to 25%","From 50-75%","2-5 times per week","No – people may eat however they wish.","Local, Organic, GMO Free, Vegetarian Only, Mostly Vegan","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Eclectic (integrates pieces from many religions)","Education Style(s): Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/mothership-sanctuary/",-123.1153679,43.960758,NA,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"549",549,549,549,549,"Mount Madonna Center",1974,"1978","445 Summit Rd Watsonville, California, 95076 United States ","Established","355 acres","Spiritual or Religious Community",33,"51-60%","41-49%","The entire community membership",87,"Non-member Residents: 18","Visitor Process: Please send an email.
","Yes","Decision Making: By a board, council, group of elders, or leadership group","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","No Info","Up to 25%","Between 26-49%","From 50-75%","Approximately all meals","Yes – we all share a common diet.","Vegetarian ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Private Schooling at the Community","Healthcare Options: Partial, Special, or Limited Community Plan","https://www.ic.org/directory/mount-madonna-center/",-121.7390955,37.027052,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"550",550,550,550,550,"Mountain View Cohousing Community",2008,"2015","445 Calderon Avenue Mountain View, California, 94041 United States ","Established","1.1 acres","Cohousing ",17,"61-70%","31-40%","The entire community membership",29,"No Info","Visitor Process: Check out our website: MountainViewCohousing.org
E-mail us at [email protected] or phone us at 650-479-MVCC (650-479-6822).
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: Yes","Up to 25%","Up to 25%","Up to 25%","2-5 times per week","No – people may eat however they wish.","Omnivorous, Local, Organic, Gluten-Free","Alcohol Use: Yes, used occasionally.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Not a particularly spiritual or religious community, Christian, Jewish, Protestant, Unitarian Universalist, Ananda Community, Atheist, Agnostic","Education Style(s): Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/mountain-view-cohousing-community/",-122.0732471,37.3883266,NA,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"551",551,551,551,551,"Mourne Grange Camphill Village Community",1971,"1971","169 Newry Road Co. Down Kilkeel, N. Ireland, BT34 4EX United Kingdom ","Established","80 acres","Commune ",16,"51-60%","41-49%","The Community",131,"No Info","No Info","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: All or close to all","Required Labor Contribution per Week: 0","No Info","No Info","No Info","No Info","Approximately all meals","No Info","Omnivorous ","No Info","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Private Schooling at the Community, Public Schooling","No Info","https://www.ic.org/directory/mourne-grange-camphill-village-community/",-6.0422255,54.0649284,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"552",552,552,552,552,"Muir Commons",1989,"1991","2222 Muir Woods Place Davis, California, 95616 United States ","Established","3 acres","Cohousing ",28,"No Info","No Info","Individual community member(s)",47,"No Info","Visitor Process: Send an email to with dates and times that you want to visit at least a week in advance.
","Yes","Decision Making: Modified Consensus (everyone agrees, with some exceptions or fallbacks.)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 2","Open to members with existing debt: Yes","Up to 25%","No Info","No Info","About once a week","No – people may eat however they wish.","Omnivorous, Organic, Vegetarian Only, Dairy-Free, Gluten-Free","No Info","No Info","Common Spiritual Practice(s): Not a particularly spiritual or religious community","Education Style(s): Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/muir-commons/",-121.779408,38.555968,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"553",553,553,553,553,"Mulvey Creek Land Co-operative",1993,"1997","Box 286 Slocan, British Columbia, V0G 2C0 Canada ","Established","240 acres","Cohousing ",62,"41-49%","51-60%","The Community",11,"Non-member Residents: 2","Visitor Process: Contact Martine Star: 
","Yes","Decision Making: Consensus minus 1","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: No","Up to 25%","Almost All, around 90%","From 50-75%","Rarely","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used occasionally.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs), Buddhist, Native American, Paganism or Earth Religions, Hare Krishna, Atheist, Agnostic, Humanist","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property, Public Schooling, Up to each family or individual","No Info","https://www.ic.org/directory/mulvey-creek-land-co-operative/",-117.4693369,49.7679749,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"554",554,554,554,554,"N Street Cohousing",1988,"1986","724 N St Davis, California, 95616 United States ","Established","3 acres","Cohousing ",16,"31-40%","31-40%","Individual community member(s)",61,"No Info","Visitor Process: Visit our website a www.nstreetcohousing.org
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: No","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","No Info","Up to 25%","No Info","No Info","2-5 times per week","No Info","Omnivorous ","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","Education Style(s): Public Schooling","No Info","https://www.ic.org/directory/n-street-cohousing/",-121.7305667,38.5514136,NA,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"555",555,555,555,555,"Nahziryah Monastic Community",NA,"1970","Nahziryah Monastic Community Nazir Path 970 MC 5029 Saint Joe, Arkansas, 72675 United States ","Established","103 acres","Commune ",0,"No Info","No Info","The Community",10101,"No Info","Visitor Process: all visits must be pre-approved of by the Reverend Nazirmoreh(ABRD). Those seeking visitation should request a Visitation Questionnaire, fill out and return to the Reverend Baba Nazirmoreh (ABRD), that the Reverend may review and approve of according to time requested and reason for requested visit.
","Yes","Decision Making: By an individual community leader","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: All or close to all","Required Labor Contribution per Week: 168","Open to members with existing debt: No","No Info","No Info","No Info","Approximately all meals","No Info","Organic, GMO Free, Vegan Only ","No Info","No Info","No Info","Education Style(s): Private Schooling at the Community","No Info","https://www.ic.org/directory/nahziryah-monastic-community/",-92.7754902,36.1322924,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"556",556,556,556,556,"Narara Ecovillage",2009,"2016","25 Research Road Narara, 2250 Australia ","Forming","166 hectares","Ecovillage ",0,"51-60%","41-49%","The entire community membership",90,"Non-member Residents: 1","No Info","Yes","Decision Making: Sociocracy","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 1","Open to members with existing debt: Yes","0%, or close to 0%","Almost All, around 90%","Up to 25%","No Info","No Info","No Info","No Info","No Info","No Info","No Info","No Info","https://www.ic.org/directory/narara-ecovillage/",151.328114,-33.3911497,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"557",557,557,557,557,"Nasalam",1984,"1995","837 N. Ranch Rd. Fair Grove, Missouri, 65648  United States ","Established","21 acres","Commune, Ecovillage, Spiritual or Religious Community",2,"0%","100%","Other",3,"Non-member Residents: 0","Visitor Process: This is covered on our website.
","Yes","Decision Making: By an individual community leader","Identified Leader: Yes","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: All or close to all","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes (some debt)","Up to 25%","100%","Up to 25%","Approximately all meals","Yes – we all share a common diet.","Organic, GMO Free, Vegetarian Only, Mostly Vegan","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","Common Spiritual Practice(s): Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/nasalam/",-93.0628049,37.3867528,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"558",558,558,558,558,"Nashville West Cohousing",2016,"2019","3200 West End Ave, #500 Nashville, Tennessee, 37203 United States ","Forming","No Info","Cohousing ",33,"No Info","No Info","Individual community member(s)",15,"No Info","Visitor Process: email to web site contact. Visitors will be welcomed as soon as identified properties have been financially tied up pending environmental/wildlife/ancestral lands searches, investigations and assessments.
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","No Info","Open to members with existing debt: Yes","0%, or close to 0%","No Info","No Info","No Info","No Info","No Info","Alcohol Use: Yes, used occasionally.","Tobacco Use: Yes, used seldomly, or ceremoniously.","No Info","No Info","No Info","https://www.ic.org/directory/nashville-cohousing/",-86.8171309,36.1421394,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"559",559,559,559,559,"Natale",2002,"2017","Sierra de Oaxaca San Mateo Rio Hondo, Oaxaca,  Mexico ","Forming","No Info","Ecovillage, Cohousing, Spiritual or Religious Community",0,"50%","50%","Individual community member(s)",6,"No Info","Visitor Process: People should email me, [email protected], since it is not all year round that we are open to receiving visitors or learners.
","Waiting List","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: None","Required Labor Contribution per Week: 0","Open to members with existing debt: Yes (some debt)","0%, or close to 0%","From 50-75%","100%","2-5 times per week","Somewhat – there are some dietary restrictions or customs.","Omnivorous, Local, Organic, GMO Free, Mostly Vegetarian","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Eclectic (integrates multiple religious or spiritual beliefs)","Education Style(s): Home Schooling, Private Schooling at the Community, Private School off the property, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/natale/",-96.5009618,16.1694647,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"560",560,560,560,560,"Natura Regenerative Community",2013,"2018","William Hebb Rd Conquerall Bank, Nova Scotia,  Canada ","Forming","30 acres","Ecovillage ",2,"41-49%","51-60%","The entire community membership",3,"Non-member Residents: 0","Visitor Process: You can contact us at [email protected] or visit the contact us section of our website www.naturaltd.com <f0><U+009F><U+0099><U+0082>
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: Yes, multiple identified leaders","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: No","Shared Income: None","No Info","Open to members with existing debt: Yes (some debt)","Up to 25%","From 50-75%","From 50-75%","1-3 times per month","No – people may eat however they wish.","Omnivorous, Paleo, Local, Organic, GMO Free, Vegetarian Only, Mostly Vegetarian, Vegan Only, Mostly Vegan, Opportunivore, Raw or Mostly Raw, Kosher, Halal, Dairy-Free, Gluten-Free","Alcohol Use: Yes, used seldomly, or ceremoniously.","Tobacco Use: Yes, used seldomly, or ceremoniously.","Common Spiritual Practice(s): Ecumenical (accepts all religions or spiritual practices), Christian, Buddhist, Catholic, Native American, Mixed Eastern Philosophy or Practice","Education Style(s): Home Schooling, Public Schooling, Up to each family or individual","Healthcare Options: Up to each family or individual","https://www.ic.org/directory/natura-regenerative-community/",-64.5168363,44.355341,NA,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"561",561,561,561,561,"NATURALMENTE – Retreat Center (Nucleum for the Reconnection with the Essence within the Being)",2012,"2013","Loulé Algarve Loulé, Algarve, 8100 Portugal ","Established","No Info","Commune, Ecovillage, Shared Housing, Cohouseholding, or Coliving ",2,"No Info","No Info","The Community",3,"No Info","Visitor Process: please visit site:
www.naturalmente-retreat-center.blogspot.com
(and fill in brief questionnaire (in the tab ” volunteers and visitors”)
","Yes","Decision Making: Consensus (everyone agrees)","Identified Leader: No","Leadership Core Group: Yes","Dues, Fees, or Shared Expenses: Yes","Shared Income: Partial share of income","Required Labor Contribution per Week: 0","No Info","Up to 25%","100%","From 50-75%","Approximately all meals","Yes – we all share a common diet.","Local, Organic, GMO Free, Vegan Only, Raw or Mostly Raw","Alcohol Use: No, this community does not permit alcohol use.","Tobacco Use: No, this community does not permit tobacco use.","No Info","Education Style(s): Home Schooling","No Info","https://www.ic.org/directory/naturalmente-nucleum-for-the-reconnection-with-the-essence-within-the-being/",-8.020216,37.1379187,NA,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
